Id,Label
i,i
m,m
don,don
t,t
it,it
s,s
ain,ain
and,and
you,you
re,re
can,can
in,in
the,the
know,know
ll,ll
but,but
on,on
me,me
like,like
a,a
if,if
that,that
when,when
ve,ve
to,to
wanna,wanna
got,got
what,what
was,was
my,my
way,way
at,at
with,with
won,won
do,do
oh,oh
just,just
could,could
she,she
all,all
cause,cause
tell,tell
baby,baby
your,your
yeah,yeah
for,for
be,be
think,think
been,been
zebani,zebani
let,let
d,d
there,there
of,of
love,love
need,need
mind,mind
up,up
heart,heart
ma,ma
make,make
now,now
la,la
didn,didn
look,look
so,so
he,he
ah,ah
want,want
we,we
show,show
world,world
have,have
ooh,ooh
go,go
out,out
não,não
pare,pare
say,say
night,night
uh,uh
life,life
right,right
time,time
who,who
even,even
bitch,bitch
were,were
how,how
bout,bout
no,no
more,more
hey,hey
gonna,gonna
had,had
shit,shit
said,said
from,from
stop,stop
y,y
next,next
same,same
get,get
little,little
off,off
not,not
see,see
star,star
used,used
where,where
are,are
never,never
might,might
give,give
guess,guess
nigga,nigga
close,close
am,am
fuck,fuck
down,down
take,take
through,through
thought,thought
one,one
hate,hate
woah,woah
ya,ya
this,this
every,every
back,back
door,door
they,they
bar,bar
na,na
told,told
типа,типа
того,того
is,is
ты,ты
таков,таков
feeling,feeling
feel,feel
swear,swear
keep,keep
huh,huh
batida,batida
still,still
fli,fli
da,da
please,please
about,about
much,much
girl,girl
did,did
better,better
redrum,redrum
wait,wait
head,head
party,party
try,try
mean,mean
too,too
thinkin,thinkin
should,should
name,name
good,good
luck,luck
lovin,lovin
hol,hol
whip,whip
okay,okay
break,break
babe,babe
eyes,eyes
these,these
niggas,niggas
floor,floor
high,high
couldn,couldn
well,well
made,made
hit,hit
wild,wild
devil,devil
only,only
bet,bet
apateu,apateu
road,road
then,then
truth,truth
feather,feather
as,as
us,us
together,together
tired,tired
thing,thing
wasn,wasn
pink,pink
pony,pony
lo,lo
que,que
here,here
club,club
than,than
g,g
o,o
whole,whole
miss,miss
sweet,sweet
em,em
truck,truck
bed,bed
ayy,ayy
new,new
pour,pour
hard,hard
у,у
меня,меня
help,help
him,him
lies,lies
ex,ex
burn,burn
реально,реально
tellin,tellin
hope,hope
come,come
long,long
gettin,gettin
tipsy,tipsy
hits,hits
day,day
lose,lose
ha,ha
done,done
act,act
boy,boy
bad,bad
care,care
man,man
den,den
arsch,arsch
would,would
call,call
city,city
h,h
friends,friends
en,en
el,el
ready,ready
gave,gave
real,real
control,control
gang,gang
by,by
fire,fire
nasty,nasty
te,te
waiting,waiting
ever,ever
things,things
put,put
catch,catch
everybody,everybody
espresso,espresso
body,body
tonight,tonight
live,live
sexyy,sexyy
hot,hot
cowgirls,cowgirls
hold,hold
guy,guy
always,always
side,side
knew,knew
hell,hell
sun,sun
some,some
dance,dance
gotta,gotta
sleep,sleep
her,her
turnt,turnt
few,few
wish,wish
last,last
own,own
kind,kind
yo,yo
why,why
lot,lot
til,til
talk,talk
dancing,dancing
feels,feels
believe,believe
really,really
wouldn,wouldn
saw,saw
miles,miles
sorry,sorry
alright,alright
black,black
ones,ones
gon,gon
mm,mm
deep,deep
left,left
eh,eh
mine,mine
them,them
god,god
wind,wind
old,old
flirt,flirt
knows,knows
full,full
tried,tried
face,face
я,я
не,не
wop,wop
shake,shake
hände,hände
auf,auf
an,an
angel,angel
play,play
drink,drink
hundred,hundred
kiss,kiss
スター,スター
showed,showed
woke,woke
many,many
best,best
broken,broken
doin,doin
jag,jag
är,är
hoes,hoes
met,met
fell,fell
ass,ass
haven,haven
million,million
heard,heard
breath,breath
end,end
pull,pull
slow,slow
tryna,tryna
ride,ride
whiskey,whiskey
va,va
turn,turn
into,into
n,n
thanks,thanks
must,must
airport,airport
tie,tie
scared,scared
along,along
soul,soul
makin,makin
before,before
olmak,olmak
zorunda,zorunda
chains,chains
ho,ho
rather,rather
or,or
lookin,lookin
car,car
whips,whips
find,find
rest,rest
start,start
took,took
lil,lil
again,again
breakin,breakin
leave,leave
shoes,shoes
watch,watch
bumpin,bumpin
bitches,bitches
while,while
someone,someone
true,true
fall,fall
pair,pair
sky,sky
somethin,somethin
around,around
home,home
stay,stay
will,will
turned,turned
если,если
christmas,christmas
wrong,wrong
none,none
nah,nah
están,están
hablando,hablando
dick,dick
version,version
everything,everything
hear,hear
missin,missin
front,front
coffee,coffee
switch,switch
dreams,dreams
mom,mom
flirting,flirting
light,light
3,3
mess,mess
first,first
neat,neat
fly,fly
trust,trust
fallin,fallin
beautiful,beautiful
open,open
si,si
chevrolet,chevrolet
over,over
deserve,deserve
chevy,chevy
doesn,doesn
second,second
apart,apart
couple,couple
save,save
his,his
wake,wake
whatever,whatever
set,set
went,went
blame,blame
other,other
fan,fan
use,use
round,round
double,double
halfway,halfway
town,town
toqué,toqué
somebody,somebody
этой,этой
суке,суке
walk,walk
money,money
jack,jack
bought,bought
air,air
deine,deine
knie,knie
für,für
saved,saved
finna,finna
hands,hands
hand,hand
without,without
essas,essas
vadias,vadias
nothin,nothin
fool,fool
found,found
fucked,fucked
sweat,sweat
goes,goes
hotter,hotter
water,water
sign,sign
fault,fault
attached,attached
meg,meg
mama,mama
calling,calling
backseat,backseat
tryin,tryin
away,away
big,big
stole,stole
freaky,freaky
california,california
king,king
69,69
maybe,maybe
moment,moment
loved,loved
kisses,kisses
obsessed,obsessed
middle,middle
worst,worst
already,already
fine,fine
damned,damned
walked,walked
choose,choose
freak,freak
twenty,twenty
eight,eight
в,в
nights,nights
late,late
two,two
check,check
mouth,mouth
heaven,heaven
murder,murder
dancefloor,dancefloor
jah,jah
promise,promise
losing,losing
tra,tra
house,house
когда,когда
то,то
praises,praises
work,work
он,он
bones,bones
three,three
impossible,impossible
anyway,anyway
thousand,thousand
houdini,houdini
taste,taste
voy,voy
comes,comes
ask,ask
engine,engine
roll,roll
carnival,carnival
chest,chest
honor,honor
ends,ends
livin,livin
favorita,favorita
de,de
dios,dios
instead,instead
die,die
girls,girls
shot,shot
lord,lord
что,что
goin,goin
dar,dar
uma,uma
volta,volta
boys,boys
mornin,mornin
myself,myself
wide,wide
fast,fast
cut,cut
dream,dream
runnin,runnin
main,main
pom,pom
mi,mi
move,move
nintendo,nintendo
vamos,vamos
mano,mano
fodem,fodem
dedurando,dedurando
run,run
coming,coming
matar,matar
top,top
streets,streets
table,table
eah,eah
everywhere,everywhere
belong,belong
glo,glo
history,history
drunk,drunk
cry,cry
known,known
innocence,innocence
underneath,underneath
vida,vida
prove,prove
takin,takin
times,times
tongue,tongue
fore,fore
saturn,saturn
quieres,quieres
something,something
hurt,hurt
私は,私は
red,red
wine,wine
send,send
remember,remember
hasta,hasta
ground,ground
wanted,wanted
kill,kill
duh,duh
lighter,lighter
beat,beat
exes,exes
line,line
room,room
baow,baow
damn,damn
sure,sure
como,como
ghost,ghost
change,change
pain,pain
standing,standing
forgot,forgot
goodbye,goodbye
twin,twin
mirror,mirror
conmigo,conmigo
fight,fight
p,p
step,step
season,season
favor,favor
zamansız,zamansız
another,another
nobody,nobody
lie,lie
bag,bag
neck,neck
hay,hay
amo,amo
cruel,cruel
pretty,pretty
touch,touch
horses,horses
bottle,bottle
moon,moon
pieces,pieces
thank,thank
santa,santa
claus,claus
wakin,wakin
amor,amor
street,street
e,e
game,game
morning,morning
summer,summer
ticket,ticket
kehlani,kehlani
lay,lay
fuckin,fuckin
ending,ending
four,four
giddy,giddy
half,half
each,each
talkin,talkin
type,type
isn,isn
waves,waves
earth,earth
shelf,shelf
pa,pa
mí,mí
hurts,hurts
block,block
stars,stars
мы,мы
можем,можем
ich,ich
habe,habe
such,such
edge,edge
worried,worried
se,se
victim,victim
romantic,romantic
sticks,sticks
hang,hang
merry,merry
curb,curb
お金,お金
稼ぐ,稼ぐ
askin,askin
enough,enough
tire,tire
tracks,tracks
existed,existed
vermont,vermont
alcohol,alcohol
split,split
questions,questions
song,song
titties,titties
hair,hair
supernova,supernova
abra,abra
abracadabra,abracadabra
arruinando,arruinando
steppin,steppin
está,está
shots,shots
bin,bin
cure,cure
kicked,kicked
stage,stage
идти,идти
hole,hole
fun,fun
lost,lost
cool,cool
keeps,keeps
proud,proud
es,es
lunch,lunch
poison,poison
looks,looks
most,most
comin,comin
week,week
problem,problem
brand,brand
sent,sent
settle,settle
memory,memory
five,five
crash,crash
sunset,sunset
place,place
gece,gece
sadece,sadece
perfect,perfect
değilim,değilim
kişi,kişi
aşık,aşık
biri,biri
kızlarından,kızlarından
istiyorum,istiyorum
hayır,hayır
bu,bu
apple,apple
follow,follow
across,across
на,на
хуй,хуй
casual,casual
pero,pero
nel,nel
weren,weren
pic,pic
riding,riding
friend,friend
cross,cross
posed,posed
loving,loving
until,until
forget,forget
heat,heat
stupid,stupid
reason,reason
excuse,excuse
bars,bars
shoot,shoot
nother,nother
pussy,pussy
pedal,pedal
daniel,daniel
friday,friday
slip,slip
gone,gone
jet,jet
called,called
mich,mich
family,family
teeth,teeth
seen,seen
waste,waste
matter,matter
toes,toes
least,least
lights,lights
paint,paint
5th,5th
downtown,downtown
train,train
whistle,whistle
near,near
since,since
rain,rain
oklahoma,oklahoma
mundo,mundo
tens,tens
our,our
sick,sick
hood,hood
locked,locked
wonder,wonder
bone,bone
dry,dry
white,white
dead,dead
shows,shows
feliz,feliz
navidad,navidad
君と過ごした夜の,君と過ごした夜の
一瞬一秒を思い出す,一瞬一秒を思い出す
君は飲んでるときだけそんな風に笑うんだ,君は飲んでるときだけそんな風に笑うんだ
したくないけど,したくないけど
speak,speak
meet,meet
cards,cards
おかしな言葉が口から零れる,おかしな言葉が口から零れる
大人の男の心が壊れたときは,大人の男の心が壊れたときは
写真と過ぎ去った時間,写真と過ぎ去った時間
君は俺に日が昇るまで一緒に居てほしいと懇願したのに,君は俺に日が昇るまで一緒に居てほしいと懇願したのに
閉店時間の冷え切った態度,閉店時間の冷え切った態度
そうしてしまうよ,そうしてしまうよ
funny,funny
phone,phone
bottom,bottom
brother,brother
mhm,mhm
feelin,feelin
rebel,rebel
problematic,problematic
says,says
yes,yes
déjate,déjate
llevar,llevar
alone,alone
stuck,stuck
clap,clap
pistol,pistol
eat,eat
famous,famous
rise,rise
supposed,supposed
boots,boots
build,build
foot,foot
l,l
spin,spin
arms,arms
pop,pop
как,как
еду,еду
pick,pick
raise,raise
feet,feet
nada,nada
snap,snap
kissin,kissin
daddy,daddy
falling,falling
honey,honey
boogie,boogie
hoedown,hoedown
kids,kids
yet,yet
takes,takes
knees,knees
claim,claim
skin,skin
dollar,dollar
liar,liar
clean,clean
write,write
felt,felt
killer,killer
shoulder,shoulder
tight,tight
means,means
job,job
со,со
мной,мной
wants,wants
came,came
bye,bye
match,match
lately,lately
happened,happened
badly,badly
anyone,anyone
taught,taught
stand,stand
makes,makes
kinda,kinda
memories,memories
weekend,weekend
teamwork,teamwork
skilla,skilla
detroit,detroit
nothing,nothing
caught,caught
vanilla,vanilla
wasted,wasted
choke,choke
jingle,jingle
bells,bells
moved,moved
windows,windows
gun,gun
groove,groove
snooze,snooze
afraid,afraid
important,important
pode,pode
değiliz,değiliz
hurry,hurry
upside,upside
bell,bell
worth,worth
days,days
feelings,feelings
raised,raised
ма,ма
switchin,switchin
lanes,lanes
excited,excited
lyin,lyin
changed,changed
выбиваешь,выбиваешь
дилер,дилер
торгуешь,торгуешь
дурью,дурью
юный,юный
двери,двери
вламываешься,вламываешься
пацан,пацан
ый,ый
сука,сука
бам,бам
young,young
таковы,таковы
ещё,ещё
бутылочку,бутылочку
ходу,ходу
чуваки,чуваки
с,с
самых,самых
низов,низов
был,был
гангстером,гангстером
rep,rep
выпей,выпей
баленсиаге,баленсиаге
весь,весь
24,24
дешёвкой,дешёвкой
кайфе,кайфе
шагай,шагай
south,south
cannot,cannot
tú,tú
shouldn,shouldn
chance,chance
country,country
aim,aim
missed,missed
calls,calls
scene,scene
soon,soon
hide,hide
tastin,tastin
power,power
lonely,lonely
pray,pray
drinkin,drinkin
leavin,leavin
probably,probably
year,year
ice,ice
holdin,holdin
drown,drown
blow,blow
under,under
songs,songs
stoned,stoned
но,но
nice,nice
business,business
buy,buy
knot,knot
pullin,pullin
dreaming,dreaming
veces,veces
walls,walls
great,great
lass,lass
piece,piece
vor,vor
funeral,funeral
pack,pack
jetzt,jetzt
case,case
habits,habits
beug,beug
ninety,ninety
bit,bit
drake,drake
schlampe,schlampe
cuzzo,cuzzo
atmen,atmen
quiero,quiero
tears,tears
cómo,cómo
starin,starin
reins,reins
mile,mile
after,after
mustang,mustang
потому,потому
все,все
мои,мои
sometimes,sometimes
rodeo,rodeo
всё,всё
равно,равно
liquor,liquor
boat,boat
wear,wear
chem,chem
summertime,summertime
mountain,mountain
dew,dew
getting,getting
knife,knife
understand,understand
drive,drive
river,river
soak,soak
gas,gas
motherfucker,motherfucker
low,low
messing,messing
yourself,yourself
qué,qué
terrible,terrible
plan,plan
iced,iced
tea,tea
future,future
drop,drop
greedy,greedy
knock,knock
bate,bate
mamaw,mamaw
cha,cha
dj,dj
both,both
grinnin,grinnin
kid,kid
hoodrat,hoodrat
read,read
fit,fit
behind,behind
having,having
crowd,crowd
stick,stick
hittin,hittin
ov,ov
window,window
cars,cars
ла,ла
миллион,миллион
за,за
tu,tu
bring,bring
whoop,whoop
weather,weather
west,west
hollywood,hollywood
heels,heels
vez,vez
chasing,chasing
dear,dear
highway,highway
femininomenon,femininomenon
smoke,smoke
sand,sand
bee,bee
favorite,favorite
bailando,bailando
esta,esta
sea,sea
und,und
du,du
shine,shine
seguramente,seguramente
estarías,estarías
wildflowers,wildflowers
shoo,shoo
movie,movie
otra,otra
noche,noche
chiqui,chiqui
chá,chá
bulletproof,bulletproof
una,una
quincena,quincena
перки,перки
antes,antes
amigos,amigos
julia,julia
tastes,tastes
breaking,breaking
hubiera,hubiera
жру,жру
стиле,стиле
sido,sido
conocido,conocido
даже,даже
everyone,everyone
ere,ere
small,small
part,part
arm,arm
deeper,deeper
wave,wave
breaks,breaks
wrote,wrote
glad,glad
looked,looked
ubi,ubi
ponte,ponte
dale,dale
ritmo,ritmo
del,del
tiktok,tiktok
whether,whether
и,и
mándame,mándame
school,school
esa,esa
gata,gata
brag,brag
woman,woman
al,al
throw,throw
van,van
102,102
does,does
pushin,pushin
45,45
smokin,smokin
conozco,conozco
ey,ey
crazy,crazy
words,words
short,short
dumb,dumb
number,number
disease,disease
darkness,darkness
dms,dms
você,você
birds,birds
için,için
their,their
minha,minha
eres,eres
kept,kept
tienes,tienes
pretend,pretend
forward,forward
так,так
думает,думает
con,con
scream,scream
today,today
seat,seat
blue,blue
talking,talking
origami,origami
trunk,trunk
bowl,bowl
willin,willin
art,art
un,un
ding,ding
dong,dong
saying,saying
